day,repetition code,short,long,,
284,every_hour,I can elect to change all thoughts that hurt.,"Father, what You have given cannot hurt, so grief and pain must be impossible. Let me not fail to trust in You today, accepting but the joyous as Your gifts; accepting but the joyous as the truth.",,
285,every_hour,My holiness shines bright and clear today.,"Father, my holiness is Yours. Let me rejoice in it, and through forgiveness be restored to sanity. Your Son is still as You created him. My holiness is part of me, and also part of You. And what can alter Holiness Itself?",,
286,every_hour,The hush of Heaven holds my heart today.,"Father, how still today! How quietly do all things fall in place! This is the day that has been chosen as the time in which I come to understand the lesson that there is no need that I do anything. In You is every choice already made. In You has every conflict been resolved. In You is everything I hope to find already given me. Your peace is mine. My heart is quiet, and my mind at rest. Your Love is Heaven, and Your Love is mine.",,
287,every_hour,"You are my goal, my Father. Only You.","You are my goal, my Father. What but You could I desire to have? What way but that which leads to You could I desire to walk? And what except the memory of You could signify to me the end of dreams and futile substitutions for the truth? You are my only goal. Your Son would be as You created him. What way but this could I expect to recognize my Self, and be at one with my Identity?",,
288,every_hour,Let me forget my brother's past today.,"This is the thought that leads the way to You, and brings me to my goal. I cannot come to You without my brother. And to know my Source, I first must recognize what You created one with me. My brother's is the hand that leads me on the way to You. His sins are in the past along with mine, and I am saved because the past is gone. Let me not cherish it within my heart, or I will lose the way to walk to You. My brother is my savior. Let me not attack the savior You have given me. But let me honor him who bears Your Name, and so remember that It is my own.",,
289,every_hour,The past is over. It can touch me not.,"Father, let me not look upon a past that is not there. For You have offered me Your Own replacement, in a present world the past has left untouched and free of sin. Here is the end of guilt. And here am I made ready for Your final step. Shall I demand that You wait longer for Your Son to find the loveliness You planned to be the end of all his dreams and all his pain?",,
290,every_hour,My present happiness is all I see.,"With this resolve I come to You, and ask Your strength to hold me up today, while I but seek to do Your Will. You cannot fail to hear me, Father. What I ask have You already given me. And I am sure that I will see my happiness today.",,
291,every_hour,This is a day of stillness and of peace.,"This day my mind is quiet, to receive the Thoughts You offer me. And I accept what comes from You, instead of from myself. I do not know the way to You. But You are wholly certain. Father, guide Your Son along the quiet path that leads to You. Let my forgiveness be complete, and let the memory of You return to me.",,
292,every_hour,A happy outcome to all things is sure.,"We thank You, Father, for Your guarantee of only happy outcomes in the end. Help us not interfere, and so delay the happy endings You have promised us for every problem that we can perceive; for every trial we think we still must meet.",,
293,every_hour,All fear is past and only love is here.,"Father, let not Your holy world escape my sight today. Nor let my ears be deaf to all the hymns of gratitude the world is singing underneath the sounds of fear. There is a real world which the present holds safe from all past mistakes. And I would see only this world before my eyes today.",,
294,every_hour,My body is a wholly neutral thing.,"My body, Father, cannot be Your Son. And what is not created cannot be sinful nor sinless; neither good nor bad. Let me, then, use this dream to help Your plan that we awaken from all dreams we made.",,
295,every_hour,The Holy Spirit looks through me today.,"My Father, Christ has asked a gift of me, and one I give that it be given me. Help me to use the eyes of Christ today, and thus allow the Holy Spirit's Love to bless all things which I may look upon, that His forgiving Love may rest on me.",,
296,every_hour,The Holy Spirit speaks through me today.,"The Holy Spirit needs my voice today, that all the world may listen to Your Voice, and hear Your Word through me. I am resolved to let You speak through me, for I would use no words but Yours, and have no thoughts which are apart from Yours, for only Yours are true. I would be savior to the world I made. For having damned it I would set it free, that I may find escape, and hear the Word Your holy Voice will speak to me today.",,
297,every_hour,Forgiveness is the only gift I give.,"Father, how certain are Your ways; how sure their final outcome, and how faithfully is every step in my salvation set already, and accomplished by Your grace. Thanks be to You for Your eternal gifts, and thanks to You for my Identity.",,
298,every_hour,"I love You, Father, and I love Your Son.","Father, I come to You today, because I would not follow any way but Yours. You are beside me. Certain is Your way. And I am grateful for Your holy gifts of certain sanctuary, and escape from everything that would obscure my love for God my Father and His holy Son.",,
299,every_hour,Eternal holiness abides in me.,"Father, my holiness is not of me. It is not mine to be destroyed by sin. It is not mine to suffer from attack. Illusions can obscure it, but can not put out its radiance, nor dim its light. It stands forever perfect and untouched. In it are all things healed, for they remain as You created them. And I can know my holiness. For Holiness Itself created me, and I can know my Source because it is Your Will that You be known.",,
300,every_hour,Only an instant does this world endure.,"We seek Your holy world today. For we, Your loving Sons, have lost our way a while. But we have listened to Your Voice, and learned exactly what to do to be restored to Heaven and our true Identity. And we give thanks today the world endures but for an instant. We would go beyond that tiny instant to eternity.",,
301,every_hour,And God Himself shall wipe away all tears.,"Father, unless I judge I cannot weep. Nor can I suffer pain, or feel I am abandoned or unneeded in the world. This is my home because I judge it not, and therefore is it only what You will. Let me today behold it uncondemned, through happy eyes forgiveness has released from all distortion. Let me see Your world instead of mine. And all the tears I shed will be forgotten, for their source is gone. Father, I will not judge Your world today.",,
302,every_hour,Where darkness was I look upon the light.,"Father, our eyes are opening at last. Your holy world awaits us, as our sight is finally restored and we can see. We thought we suffered. But we had forgot the Son whom You created. Now we see that darkness is our own imagining, and light is there for us to look upon. Christ's vision changes darkness into light, for fear must disappear when love has come. Let me forgive Your holy world today, that I may look upon its holiness and understand it but reflects my own.",,
303,every_hour,The holy Christ  is born in me today.,"Your Son is welcome, Father. He has come to save me from the evil self I made. He is the Self that You have given me. He is but what I really am in truth. He is the Son You love above all things. He is my Self as You created me. It is not Christ that can be crucified. Safe in Your Arms let me receive Your Son.",,
304,every_hour,Let not my world obscure the sight of Christ .,"You lead me from the darkness to the light; from sin to holiness. Let me forgive, and thus receive salvation for the world. It is Your gift, my Father, given me to offer to Your holy Son, that he may find again the memory of You, and of Your Son as You created him.",,
305,every_hour,There is a peace that Christ  bestows  on us.,"Father, the peace of Christ is given us, because it is Your Will that we be saved. Help us today but to accept Your gift, and judge it not. For it has come to us to save us from our judgment on ourselves.",,
306,every_hour,The gift of Christ  is all I seek today.,"And so, our Father, we return to You, remembering we never went away; remembering Your holy gifts to us. In gratitude and thankfulness we come, with empty hands and open hearts and minds, asking but what You give. We cannot make an offering sufficient for Your Son. But in Your Love the gift of Christ is his.",,
307,every_hour,Conflicting wishes cannot be my will.,"Father, Your Will is mine, and only that. There is no other will for me to have. Let me not try to make another will, for it is senseless and will cause me pain. Your Will alone can bring me happiness, and only Yours exists. If I would have what only You can give, I must accept Your Will for me, and enter into peace where conflict is impossible. Your Son is one with You in being and in will, and nothing contradicts the holy truth that I remain as You created me.",,
308,every_hour,This instant is the only time there is.,"Thanks for this instant, Father. It is now I am redeemed. This instant is the time You have appointed for Your Son's release, and for salvation of the world in him.",,
309,every_hour,I will not fear to look within today.,"The step I take today, my Father, is my sure release from idle dreams of sin. Your altar stands serene and undefiled. It is the holy altar to my Self, and there I find my true Identity.",,
310,every_hour,In fearlessness and love I spend today.,"This day, my Father, would I spend with You, as You have chosen all my days should be. And what I will experience is not of time at all. The joy that comes to me is not of days nor hours, for it comes from Heaven to Your Son. This day will be Your sweet reminder to remember You, Your gracious calling to Your holy Son, the sign Your grace has come to me, and that it is Your Will I be set free today.",,
311,every_hour,I judge all things as I would have them be.,"Father, we wait with open mind today, to hear Your Judgment of the Son You love. We do not know him, and we cannot judge. And so we let Your Love decide what he whom You created as Your Son must be.",,
312,every_hour,I see all things as I would have them be.,"I have no purpose for today except to look upon a liberated world, set free from all the judgments I have made. Father, this is Your Will for me today, and therefore it must be my goal as well.",,
313,every_hour,Now let a new perception come to me.,"Father, there is a vision which beholds all things as sinless, so that fear has gone, and where it was is love invited in. And love will come wherever it is asked. This vision is Your gift. The eyes of Christ look on a world forgiven. In His sight are all its sins forgiven, for He sees no sin in anything He looks upon. Now let His true perception come to me, that I may waken from the dream of sin and look within upon my sinlessness, which You have kept completely undefiled upon the altar to Your holy Son, the Self with which I would identify.",,
314,every_hour,I seek a future different from the past.,"Father, we were mistaken in tI seek a future different from the past.he past, and choose to use the present to be free. Now do we leave the future in Your Hands, leaving behind our past mistakes, and sure that You will keep Your present promises, and guide the future in their holy light.",,
315,every_hour,All gifts my brothers give belong to me.,"I thank You, Father, for the many gifts that come to me today and every day from every Son of God. My brothers are unlimited in all their gifts to me. Now may I offer them my thankfulness, that gratitude to them may lead me on to my Creator and His memory.",,
316,every_hour,All gifts I give my brothers are my own.,"Father, I would accept Your gifts today. I do not recognize them. Yet I trust that You Who gave them will provide the means by which I can behold them, see their worth, and cherish only them as what I want.",,
317,every_hour,I follow in the way appointed me.,"Father, Your way is what I choose today. Where it would lead me do I choose to go; what it would have me do I choose to do. Your way is certain, and the end secure. The memory of You awaits me there. And all my sorrows end in Your embrace, which You have promised to Your Son, who thought mistakenly that he had wandered from the sure protection of Your loving Arms.",,
318,every_hour,In me salvation's means and end are one.,"Let me today, my Father, take the role You offer me in Your request that I accept Atonement for myself. For thus does what is thereby reconciled in me become as surely reconciled to You.",,
319,every_hour,I came for the salvation of the world.,"Father, Your Will is total. And the goal which stems from it shares its totality. What aim but the salvation of the world could You have given me? And what but this could be the Will my Self has shared with You?",,
320,every_hour,My Father gives all power unto me.,"Your Will can do all things in me, and then extend to all the world as well through me. There is no limit on Your Will. And so all power has been given to Your Son.",,
321,every_hour,"Father, my freedom is in You alone.","I did not understand what made me free, nor what my freedom is, nor where to look to find it. Father, I have searched in vain until I heard Your Voice directing me. Now I would guide myself no more. For I have neither made nor understood the way to find my freedom. But I trust in You. You Who endowed me with my freedom as Your holy Son will not be lost to me. Your Voice directs me, and the way to You is opening and clear to me at last. Father, my freedom is in You alone. Father, it is my will that I return.",,
322,every_hour,I can give up but what was never real.,"Father, to You all sacrifice remains forever inconceivable. And so I cannot sacrifice except in dreams. As You created me, I can give up nothing You gave me. What You did not give has no reality. What loss can I anticipate except the loss of fear, and the return of love into my mind?",,
323,every_hour,I gladly make the 'sacrifice' of fear.,"Here is the only 'sacrifice' You ask of Your beloved Son; You ask him to give up all suffering, all sense of loss and sadness, all anxiety and doubt, and freely let Your Love come streaming in to his awareness, healing him of pain, and giving him Your Own eternal joy. Such is the 'sacrifice' You ask of me, and one I gladly make; the only 'cost' of restoration of Your memory to me, for the salvation of the world.",,
324,every_hour,"I merely follow, for I would not lead.","Father, You are the One Who gave the plan for my salvation to me. You have set the way I am to go, the role to take, and every step in my appointed path. I cannot lose the way. I can but choose to wander off a while, and then return. Your loving Voice will always call me back, and guide my feet aright. My brothers all can follow in the way I lead them. Yet I merely follow in the way to You, as You direct me and would have me go.",,
325,every_hour,All things I think I see reflect ideas.,"Our Father, Your ideas reflect the truth, and mine apart from Yours but make up dreams. Let me behold what only Yours reflect, for Yours and Yours alone establish truth.",,
326,every_hour,I am forever an Effect of God.,"Father, I was created in Your Mind, a holy Thought that never left its home. I am forever Your Effect, and You forever and forever are my Cause. As You created me I have remained. Where You established me I still abide. And all Your attributes abide in me, because it is Your Will to have a Son so like his Cause that Cause and Its Effect are indistinguishable. Let me know that I am an Effect of God, and so I have the power to create like You. And as it is in Heaven, so on earth. Your plan I follow here, and at the end I know that You will gather Your effects into the tranquil Heaven of Your Love, where earth will vanish, and all separate thoughts unite in glory as the Son of God.",,
327,every_hour,I need but call and You will answer me.,"Father, I thank You that Your promises will never fail in my experience, if I but test them out. Let me attempt therefore to try them, and to judge them not. Your Word is one with You. You give the means whereby conviction comes, and surety of Your abiding Love is gained at last.",,
328,every_hour,I choose the second place to gain the first.,"There is no will but Yours. And I am glad that nothing I imagine contradicts what You would have me be. It is Your Will that I be wholly safe, eternally at peace. And happily I share that Will which You, my Father, gave as part of me.",,
329,every_hour,I have already chosen what You will.,"Father, I thought I wandered from Your Will, defied it, broke its laws, and interposed a second will more powerful than Yours. Yet what I am in truth is but Your Will, extended and extending. This am I, and this will never change. As You are One, so am I one with You. And this I chose in my creation, where my will became forever one with Yours. That choice was made for all eternity. It cannot change, and be in opposition to itself. Father, my will is Yours. And I am safe, untroubled and serene, in endless joy, because it is Your Will that it be so.",,
330,every_hour,I will not hurt myself again today.,"Father, Your Son can not be hurt. And if we think we suffer, we but fail to know our one Identity we share with You. We would return to It today, to be made free forever from all our mistakes, and to be saved from what we thought we were.",,
331,every_hour,"There is no conflict, for my will is Yours.","How foolish, Father, to believe Your Son could cause himself to suffer! Could he make a plan for his damnation, and be left without a certain way to his release? You love me, Father. You could never leave me desolate, to die within a world of pain and cruelty. How could I think that Love has left Itself? There is no will except the Will of Love. Fear is a dream, and has no will that can conflict with Yours. Conflict is sleep, and peace awakening. Death is illusion; life, eternal truth. There is no opposition to Your Will. There is no conflict, for my will is Yours.",,
332,every_hour,Fear binds the world. Forgiveness sets it free.,"We would not bind the world again today. Fear holds it prisoner. And yet Your Love has given us the means to set it free. Father, we would release it now. For as we offer freedom, it is given us. And we would not remain as prisoners, while You are holding freedom out to us.",,
333,every_hour,Forgiveness ends the dream of conflict here.,"Father, forgiveness is the light You chose to shine away all conflict and all doubt, and light the way for our return to You. No light but this can end our evil dream. No light but this can save the world. For this alone will never fail in anything, being Your gift to Your beloved Son.",,
334,every_hour,Today I claim the gifts forgiveness gives.,"I seek but the eternal. For Your Son can be content with nothing less than this. What, then, can be his solace but what You are offering to his bewildered mind and frightened heart, to give him certainty and bring him peace? Today I would behold my brother sinless. This Your Will for me, for so will I behold my sinlessness.",,
335,every_hour,I choose to see my brother's sinlessness .,"What could restore Your memory to me, except to see my brother's sinlessness? His holiness reminds me that he was created one with me, and like myself. In him I find my Self, and in Your Son I find the memory of You as well.",,
336,every_hour,Forgiveness lets me know that minds are joined.,"In quiet may forgiveness wipe away my dreams of separation and of sin. Then let me, Father, look within, and find Your promise of my sinlessness is kept; Your Word remains unchanged within my mind, Your Love is still abiding in my heart.",,
337,every_hour,My sinlessness protects me from all harm.,"You Who created me in sinlessness are not mistaken about what I am. I was mistaken when I thought I sinned, but I accept Atonement for myself. Father, my dream is ended now. Amen.",,
338,every_hour,I am affected only by my thoughts,"Your plan is sure, my Father,- only Yours. All other plans will fail. And I will have thoughts that will frighten me, until I learn that You have given me the only Thought that leads me to salvation. Mine alone will fail, and lead me nowhere. But the Thought You gave me promises to lead me home, because it holds Your promise to Your Son.",,
339,every_hour,I will receive whatever I request.,"Father, this is Your day. It is a day in which I would do nothing by myself, but hear Your Voice in everything I do; requesting only what You offer me, accepting only Thoughts You share with me.",,
340,every_hour,I can be free of suffering today.,"Father, I thank You for today, and for the freedom I am certain it will bring. This day is holy, for today Your Son will be redeemed. His suffering is done. For he will hear Your Voice directing him to find Christ's vision through forgiveness, and be free forever from all suffering. Thanks for today, my Father. I was born into this world but to achieve this day, and what it holds in joy and freedom for Your holy Son and for the world he made, which is released along with him today.",,
341,every_hour,"I can attack but my own sinlessness, And it is only that which keeps me safe.","Father, Your Son is holy. I am he on whom You smile in love and tenderness so dear and deep and still the universe smiles back on You, and shares Your Holiness. How pure, how safe, how holy, then, are we, abiding in Your Smile, with all Your Love bestowed upon us, living one with You, in brotherhood and Fatherhood complete; in sinlessness so perfect that the Lord of Sinlessness conceives us as His Son, a universe of Thought completing Him.",,
342,every_hour,"I let forgiveness rest upon all things, for thus forgiveness will be given me",,,
343,every_hour,I am not asked to make a sacrifice To find the mercy and the peace of God.,"The end of suffering can not be loss. The gift of everything can be but gain. You only give. You never take away. And You created me to be like You, so sacrifice becomes impossible for me as well as You. I, too, must give. And so all things are given unto me forever and forever. As I was created I remain. Your Son can make no sacrifice, for he must be complete, having the function of completing You. I am complete because I am Your Son. I cannot lose, for I can only give, and everything is mine eternally.",,
344,every_hour,Today I learn the law of love; that what I give my brother is my gift to me.,"This is Your law, my Father, not my own. I have not understood what giving means, and thought to save what I desired for myself alone. And as I looked upon the treasure that I thought I had, I found an empty place where nothing ever was or is or will be. Who can share a dream? And what can an illusion offer me? Yet he whom I forgive will give me gifts beyond the worth of anything on earth. Let my forgiven brothers fill my store with Heaven's treasures, which alone are real. Thus is the law of love fulfilled. And thus Your Son arises and returns to You.",,
345,every_hour,"I offer only miracles today, for I would have them be returned to me.","Father, a miracle reflects Your gifts to me, Your Son. And every one I give returns to me, reminding me the law of love is universal. Even here, it takes a form which can be recognized and seen to work. The miracles I give are given back in just the form I need to help me with the problems I perceive. Father, in Heaven it is different, for there, there are no needs. But here on earth, the miracle is closer to Your gifts than any other gift that I can give. Then let me give this gift alone today, which, born of true forgiveness, lights the way that I must travel to remember You.",,
346,every_hour,"Today the peace of God envelops me, and I forget all things except His Love.","Father, I wake today with miracles correcting my perception of all things. And so begins the day I share with You as I will share eternity, for time has stepped aside today. I do not seek the things of time, and so I will not look upon them. What I seek today transcends all laws of time and things perceived in time. I would forget all things except Your Love. I would abide in You, and know no laws except Your law of love. And I would find the peace which You created for Your Son, forgetting all the foolish toys I made as I behold Your glory and my own.",,
347,every_hour,"Anger must come from judgment. Judgment is the weapon I would use against myself, to keep the miracle away from me.","Father, I want what goes against my will, and do not want what is my will to have. Straighten my mind, my Father. It is sick. But You have offered freedom, and I choose to claim Your gift today. And so I give all judgment to the One You gave to me to judge for me. He sees what I behold, and yet He knows the truth. He looks on pain, and yet He understands it is not real, and in His understanding it is healed. He gives the miracles my dreams would hide from my awareness. Let Him judge today. I do not know my will, but He is sure it is Your Own. And He will speak for me, and call Your miracles to come to me.",,
348,every_hour,"I have no cause for anger or for fear, for You surround me. And in every need that I perceive, Your grace suffices me.","Father, let me remember You are here, and I am not alone. Surrounding me is everlasting Love. I have no cause for anything except the perfect peace and joy I share with You. What need have I for anger or for fear? Surrounding me is perfect safety. Can I be afraid, when Your eternal promise goes with me? Surrounding me is perfect sinlessness. What can I fear, when You created me in holiness as perfect as Your Own?",,
349,every_hour,"Today I let Christ's vision look upon all things for me and judge them not, but give Each one a miracle of love instead.","So would I liberate all things I see, and give to them the freedom that I seek. For thus do I obey the law of love, and give what I would find and make my own. It will be given me, because I have chosen it as the gift I want to give. Father, Your gifts are mine. Each one that I accept gives me a miracle to give. And giving as I would receive, I learn Your healing miracles belong to me.",,
350,every_hour,"Miracles mirror God's eternal Love.  To offer them is to remember Him, and through His memory to save the world.","What we forgive becomes a part of us, as we perceive ourselves. The Son of God incorporates all things within himself as You created him. Your memory depends on his forgiveness. What he is, is unaffected by his thoughts. But what he looks upon is their direct result. Therefore, my Father, I would turn to You. Only Your memory will set me free. And only my forgiveness teaches me to let Your memory return to me, and give it to the world in thankfulness.",,
351,every_hour,My sinless brother is my guide to peace. My sinful brother is my guide to pain. And which I choose to see I will behold.,"Who is my brother but Your holy Son? And if I see him sinful I proclaim myself a sinner, not a Son of God; alone and friendless in a fearful world. Yet this perception is a choice I make, and can relinquish. I can also see my brother sinless, as Your holy Son. And with this choice I see my sinlessness, my everlasting Comforter and Friend beside me, and my way secure and clear. Choose, then, for me, my Father, through Your Voice. For He alone gives judgment in Your Name.",,
352,every_hour,Judgment and love are opposites. From one Come all the sorrows of the world. But from the other comes the peace of God Himself.,"Forgiveness looks on sinlessness alone, and judges not. Through this I come to You. Judgment will bind my eyes and make me blind. Yet love, reflected in forgiveness here, reminds me You have given me a way to find Your peace again. I am redeemed when I elect to follow in this way. You have not left me comfortless. I have within me both the memory of You, and One Who leads me to it. Father, I would hear Your Voice and find Your peace today. For I would love my own Identity, and find in It the memory of You.",,
353,every_hour,"My eyes, my tongue, my hands, my feet today have but one purpose; to be given Christ to use to bless the world with miracles.","Father, I give all that is mine today to Christ, to use in any way that best will serve the purpose that I share with Him. Nothing is mine alone, for He and I have joined in purpose. Thus has learning come almost to its appointed end. A while I work with Him to serve His purpose. Then I lose myself in my Identity, and recognize that Christ is but my Self.",,
354,every_hour,"We stand together, Christ and I, in peace and certainty of purpose. And in Him is His Creator, as He is in me.","My oneness with the Christ establishes me as Your Son, beyond the reach of time, and wholly free of every law but Yours. I have no self except the Christ in me. I have no purpose but His Own. And He is like His Father. Thus must I be one with You as well as Him. For who is Christ except Your Son as You created Him? And what am I except the Christ in me?",,
355,every_hour,"There is no end to all the peace and joy, and all the miracles that I will give, when I accept God's Word. Why not today?","Why should I wait, my Father, for the joy You promised me? For You will keep Your Word You gave Your Son in exile. I am sure my treasure waits for me, and I need but reach out my hand to find it. Even now my fingers touch it. It is very close. I need not wait an instant more to be at peace forever. It is You I choose, and my Identity along with You. Your Son would be Himself, and know You as his Father and Creator, and his Love.",,
356,every_hour,Sickness is but another name for sin. Healing is but another name for God. The miracle is thus a call to Him.,"Father, You promised You would never fail to answer any call Your Son might make to You. It does not matter where he is, what seems to be his problem, nor what he believes he has become. He is Your Son, and You will answer him. The miracle reflects Your Love, and thus it answers him. Your Name replaces every thought of sin, and who is sinless cannot suffer pain. Your Name gives answer to Your Son, because to call Your Name is but to call his own.",,
357,every_hour,"Truth answers every call we make to God, responding first with miracles, and then returning unto us to be itself.","Forgiveness, truth's reflection, tells me how to offer miracles, and thus escape the prison house in which I think I live. Your holy Son is pointed out to me, first in my brother; then in me. Your Voice instructs me patiently to hear Your Word, and give as I receive. And as I look upon Your Son today, I hear Your Voice instructing me to find the way to You, as You appointed that the way shall be:'Behold his sinlessness, and be you healed.'",,
358,every_hour,No call to God can be unheard nor left unanswered. And of this I can be sure; His answer is the one I really want.,"You Who remember what I really am alone remember what I really want. You speak for God, and so You speak for me. And what You give me comes from God Himself. Your Voice, my Father, then is mine as well, and all I want is what You offer me, in just the form You choose that it be mine. Let me remember all I do not know, and let my voice be still, remembering. But let me not forget Your Love and care, keeping Your promise to Your Son in my awareness always. Let me not forget myself is nothing, but my Self is all.",,
359,every_hour,God's answer is some form of peace. All pain is healed; all misery replaced with joy. All prison doors are opened. And all sin is understood as merely a mistake.,"Father, today we will forgive Your world, and let creation be Your Own. We have misunderstood all things. But we have not made sinners of the holy Sons of God. What You created sinless so abides forever and forever. Such are we. And we rejoice to learn that we have made mistakes which have no real effects on us. Sin is impossible, and on this fact forgiveness rests upon a certain base more solid than the shadow world we see. Help us forgive, for we would be redeemed. Help us forgive, for we would be at peace.",,
360,every_hour,"Peace be to me, the holy Son of God. Peace to my brother, who is one with me. Let all the world be blessed with peace through us.","Father, it is Your peace that I would give, receiving it of You. I am Your Son, forever just as You created me, for the Great Rays remain forever still and undisturbed within me. I would reach to them in silence and in certainty, for nowhere else can certainty be found. Peace be to me, and peace to all the world. In holiness were we created, and in holiness do we remain. Your Son is like to You in perfect sinlessness. And with this thought we gladly say 'Amen.'",,
361,every_hour,"This holy instant would I give to You. Be You in charge. For I would follow You, certain that Your direction gives me peace.","And if I need a word to help me, He will give it to me. If I need a thought, that will He also give. And if I need but stillness and a tranquil, open mind, these are the gifts I will receive of Him. He is in charge by my request. And He will hear and answer me, because He speaks for God my Father and His holy Son.",,
362,every_hour,"This holy instant would I give to You. Be You in charge. For I would follow You, certain that Your direction gives me peace.","And if I need a word to help me, He will give it to me. If I need a thought, that will He also give. And if I need but stillness and a tranquil, open mind, these are the gifts I will receive of Him. He is in charge by my request. And He will hear and answer me, because He speaks for God my Father and His holy Son.",,
363,every_hour,"This holy instant would I give to You. Be You in charge. For I would follow You, certain that Your direction gives me peace.","And if I need a word to help me, He will give it to me. If I need a thought, that will He also give. And if I need but stillness and a tranquil, open mind, these are the gifts I will receive of Him. He is in charge by my request. And He will hear and answer me, because He speaks for God my Father and His holy Son.",,
364,every_hour,"This holy instant would I give to You. Be You in charge. For I would follow You, certain that Your direction gives me peace.","And if I need a word to help me, He will give it to me. If I need a thought, that will He also give. And if I need but stillness and a tranquil, open mind, these are the gifts I will receive of Him. He is in charge by my request. And He will hear and answer me, because He speaks for God my Father and His holy Son.",,
365,every_hour,"This holy instant would I give to You. Be You in charge. For I would follow You, certain that Your direction gives me peace.","And if I need a word to help me, He will give it to me. If I need a thought, that will He also give. And if I need but stillness and a tranquil, open mind, these are the gifts I will receive of Him. He is in charge by my request. And He will hear and answer me, because He speaks for God my Father and His holy Son.",,
